index,t,value_1,value_2,value_3
0,0.0,0.0,0.0,0.0
1,0.001,0.018848439715408175,0.03141075907812829,0.050244318179769556
2,0.002,0.03769018266993454,0.06279051952931337,0.1003617148512149
3,0.003,0.05651853448202453,0.09410831331851433,0.15022558912075706
4,0.004,0.07532680552793272,0.12533323356430426,0.19970998051440703
5,0.005,0.09410831331851433,0.15643446504023087,0.2486898871648548
6,0.006,0.11285638487348168,0.18738131458572463,0.2970415815770349
7,0.007,0.1315643590922825,0.21814324139654254,0.34464292317451706
8,0.008,0.15022558912075706,0.2486898871648548,0.3913736668372024
9,0.009,0.16883344471273387,0.2789911060392292,0.4371157666509328
10,0.01,0.18738131458572463,0.3090169943749474,0.4817536741017153
11,0.011,0.2058626087698813,0.33873792024529137,0.5251746299612956
12,0.012,0.22427076094938117,0.368124552684678,0.5672689491267565
13,0.013,0.2425992307954074,0.39714789063478056,0.6079302976946054
14,0.014,0.26084150628989694,0.42577929156507266,0.6470559615694442
15,0.015,0.2789911060392293,0.45399049973954675,0.6845471059286886
16,0.016,0.2970415815770349,0.4817536741017153,0.7203090248879069
17,0.017,0.3149865196553048,0.5090414157503713,0.7542513807361038
18,0.018,0.3328195445229866,0.5358267949789965,0.7862884321366188
19,0.019,0.35053432019125896,0.5620833778521306,0.8163392507171839
20,0.02,0.368124552684678,0.5877852522924731,0.8443279255020151
21,0.021,0.38558399227739654,0.6129070536529765,0.8701837546695257
22,0.022,0.40290643571366264,0.6374239897486896,0.8938414241512637
23,0.023,0.42008572841180625,0.6613118653236518,0.9152411726209175
24,0.024,0.4371157666509329,0.6845471059286887,0.934328942456612
25,0.025,0.45399049973954675,0.7071067811865476,0.9510565162951535
26,0.026,0.4707039321653325,0.7289686274214114,0.9653816388332739
27,0.027,0.4872501257253323,0.7501110696304595,0.9772681235681935
28,0.028,0.5036232016357608,0.7705132427757893,0.986685944207868
29,0.029,0.5198173426207094,0.7901550123756904,0.9936113105200084
30,0.03,0.5358267949789967,0.8090169943749475,0.9980267284282716
31,0.031,0.5516458706284302,0.8270805742745618,0.9999210442038161
32,0.032,0.5672689491267565,0.8443279255020151,0.9992894726405892
33,0.033,0.5826904796685761,0.8607420270039436,0.9961336091431725
34,0.034,0.5979049830575188,0.8763066800438637,0.9904614256966512
35,0.035,0.6129070536529765,0.8910065241883678,0.9822872507286886
36,0.036,0.6276913612907005,0.9048270524660195,0.971631732914674
37,0.037,0.6422526531765843,0.917754625683981,0.958521789017376
38,0.038,0.6565857557529564,0.9297764858882513,0.9429905358928645
39,0.039,0.67068557653672,0.9408807689542255,0.925077206834458
40,0.04,0.6845471059286887,0.9510565162951535,0.9048270524660195
41,0.041,0.6981654189934726,0.9602936856769431,0.8822912264349533
42,0.042,0.7115356772092853,0.9685831611286311,0.8575266561936522
43,0.043,0.7246531301870466,0.9759167619387473,0.8305958991958129
44,0.044,0.7375131173581738,0.9822872507286886,0.8015669848708769
45,0.045,0.7501110696304595,0.9876883405951378,0.7705132427757893
46,0.046,0.7624425110114479,0.9921147013144779,0.7375131173581739
47,0.047,0.7745030601987338,0.99556196460308,0.7026499697988492
48,0.048,0.7862884321366189,0.9980267284282716,0.6660118674342517
49,0.049,0.797794439538571,0.9995065603657316,0.6276913612907006
50,0.05,0.8090169943749475,1.0,0.5877852522924732
51,0.051,0.8199521093254523,0.9995065603657316,0.5463943467342692
52,0.052,0.8305958991958126,0.9980267284282716,0.5036232016357609
53,0.053,0.840944582298169,0.99556196460308,0.459579860621488
54,0.054,0.8509944817946918,0.9921147013144779,0.4143755809932843
55,0.055,0.8607420270039435,0.9876883405951378,0.36812455268467814
56,0.056,0.8701837546695257,0.9822872507286887,0.3209436098072097
57,0.057,0.8793163101905562,0.9759167619387474,0.27295193551732505
58,0.058,0.8881364488135445,0.9685831611286311,0.224270760949381
59,0.059,0.8966410367852358,0.9602936856769431,0.1750230589752763
60,0.06,0.9048270524660196,0.9510565162951536,0.12533323356430454
61,0.061,0.9126915874035028,0.9408807689542255,0.07532680552793304
62,0.062,0.9202318473658703,0.9297764858882515,0.025130095443337813
63,0.063,0.9274451533346614,0.9177546256839813,-0.02513009544333757
64,0.064,0.934328942456612,0.9048270524660195,-0.07532680552793279
65,0.065,0.9408807689542255,0.8910065241883679,-0.12533323356430429
66,0.066,0.9470983049947443,0.8763066800438635,-0.1750230589752761
67,0.067,0.9529793415172189,0.8607420270039436,-0.2242707609493812
68,0.068,0.9585217890173758,0.844327925502015,-0.2729519355173252
69,0.069,0.9637236782900097,0.8270805742745617,-0.3209436098072095
70,0.07,0.9685831611286311,0.8090169943749475,-0.3681245526846783
71,0.071,0.9730985109821265,0.7901550123756905,-0.41437558099328364
72,0.072,0.9772681235681935,0.7705132427757895,-0.45957986062148737
73,0.073,0.9810905174433341,0.7501110696304596,-0.5036232016357604
74,0.074,0.9845643345292053,0.7289686274214118,-0.546394346734269
75,0.075,0.9876883405951378,0.7071067811865476,-0.587785252292473
76,0.076,0.9904614256966512,0.6845471059286888,-0.6276913612907004
77,0.077,0.9928826045698137,0.6613118653236518,-0.6660118674342514
78,0.078,0.9949510169813002,0.6374239897486899,-0.7026499697988491
79,0.079,0.9966659280340299,0.6129070536529764,-0.7375131173581737
80,0.08,0.9980267284282716,0.5877852522924732,-0.7705132427757894
81,0.081,0.9990329346781247,0.5620833778521305,-0.8015669848708764
82,0.082,0.9996841892832999,0.5358267949789967,-0.8305958991958127
83,0.083,0.9999802608561371,0.5090414157503711,-0.8575266561936521
84,0.084,0.9999210442038161,0.4817536741017152,-0.8822912264349534
85,0.085,0.9995065603657316,0.45399049973954686,-0.9048270524660198
86,0.086,0.9987369566060175,0.4257792915650729,-0.9250772068344577
87,0.087,0.9976125063612252,0.39714789063478106,-0.9429905358928643
88,0.088,0.9961336091431725,0.36812455268467814,-0.9585217890173756
89,0.089,0.9943007903969989,0.33873792024529176,-0.9716317329146739
90,0.09,0.9921147013144779,0.3090169943749475,-0.9822872507286887
